name,subprefecture_name
Jaguara,Lapa
Limão,Casa Verde
Sé,Sé
Itaim Bibi,Pinheiros
Vila Formosa,Aricanduva
Butantã,Butantã
Morumbi,Butantã
Raposo Tavares,Butantã
Rio Pequeno,Butantã
Vila Sônia,Butantã
Campo Limpo,Campo Limpo
Capão Redondo,Campo Limpo
Vila Andrade,Campo Limpo
Cidade Dutra,Capela do Socorro
Vila Matilde,Penha
Aricanduva,Aricanduva
Carrão,Aricanduva
Grajaú,Capela do Socorro
Guaianases,Guaianases
Lajeado,Guaianases
Cursino,Ipiranga
Ipiranga,Ipiranga
Sacomã,Ipiranga
Itaim Paulista,Itaim Paulista
Lapa,Lapa
Vila Curuçá,Itaim Paulista
Cidade Líder,Itaquera
Itaquera,Itaquera
José Bonifácio,Itaquera
Parque do Carmo,Itaquera
Jabaquara,Jabaquara
Jaçanã,Jaçanã-Tremembé
Tremembé,Jaçanã-Tremembé
Barra Funda,Lapa
Perdizes,Lapa
Socorro,Capela do Socorro
Cachoeirinha,Casa Verde
Casa Verde,Casa Verde
Cidade Ademar,Cidade Ademar
Pedreira,Cidade Ademar
Cidade Tiradentes,Cidade Tiradentes
Ermelino Matarazzo,Ermelino Matarazzo
Ponte Rasa,Ermelino Matarazzo
Brasilândia,Freguesia-Brasilândia
Freguesia do Ó,Freguesia-Brasilândia
Jardim Ângela,MBoi Mirim
Jardim São Luís,MBoi Mirim
Belém,Mooca
Brás,Mooca
Jaraguá,Pirituba-Jaraguá
Pirituba,Pirituba-Jaraguá
São Domingos,Pirituba-Jaraguá
Mandaqui,Santana-Tucuruvi
Santana,Santana-Tucuruvi
Tucuruvi,Santana-Tucuruvi
Campo Belo,Santo Amaro
Campo Grande,Santo Amaro
Santo Amaro,Santo Amaro
Iguatemi,São Mateus
São Mateus,São Mateus
São Rafael,São Mateus
Liberdade,Sé
Jardim Helena,São Miguel Paulista
São Miguel Paulista,São Miguel Paulista
Vila Jacuí,São Miguel Paulista
República,Sé
Vila Medeiros,Vila Maria-Vila Guilherme
Moema,Vila Mariana
Saúde,Vila Mariana
Vila Mariana,Vila Mariana
São Lucas,Vila Prudente
Sapopemba,Vila Prudente
Vila Prudente,Vila Prudente
Jaguaré,Lapa
Artur Alvim,Penha
Cangaíba,Penha
Vila Leopoldina,Lapa
Água Rasa,Mooca
Pari,Mooca
Penha,Penha
Anhanguera,Perus
Perus,Perus
Alto de Pinheiros,Pinheiros
Pinheiros,Pinheiros
Mooca,Mooca
Tatuapé,Mooca
Jardim Paulista,Pinheiros
Marsilac,Parelheiros
Parelheiros,Parelheiros
Bom Retiro,Sé
Cambuci,Sé
Consolação,Sé
Bela Vista,Sé
Santa Cecília,Sé
Vila Guilherme,Vila Maria-Vila Guilherme
Vila Maria,Vila Maria-Vila Guilherme
